Metric,Baseline_Mean,Rerouting_Mean,Improvement_%
Average Delay,45.221308015999995,20.2342349955,55.255086853434634
Crossing Delay,75.72541660150002,36.740700084000004,51.48167982046833
Queue Length,70.6,44.6,36.827195467422094
Speed Ratio Efficiency,0.70362728065,0.7166090776,-1.8449820390715421
Vehicles Affected,121.55,74.75,38.50267379679144
Total Delay,53587.25,23937.1,55.33060569445157
